key,f_alta,genero,edad,sucursal,div,num_ventas,sueldo_prom,antiguedad,num_trabajos_previos,edo_civil,experiencia,escolaridad,salario_diario_ant,num_dias,rotacion,dependientes,incremento
16265,27-Jul-15,1,55,GUADALAJARA TLAQUEPAQUE,1,3,1201.8317,34,7,1,3,2,3587.2,35,1,1,-0.6649666
16284,27-Jul-15,2,26,LA PAZ,1,18,14248.253,3,0,2,2,2,11764.8,396,0,2,0.2110919
16291,27-Jul-15,2,30,CULIACAN,1,1,468.855,13,8,2,2,1,13376,60,1,2,-0.9649481
16279,27-Jul-15,1,27,POLANCO,2,2,2730.2989,9,1,2,2,1,11643.2,43,1,2,-0.7655027
16241,27-Jul-15,2,27,EL SALTO,1,2,1151.8204,2,0,2,3,3,6779.2002,35,1,3,-0.8300949
16229,27-Jul-15,1,26,MONTERREY CENTRO,1,2,500.112,7,1,2,3,1,9606.4004,56,1,2,-0.9479397
16238,27-Jul-15,2,33,INTERLOMAS,2,3,1675.3752,14,2,1,2,1,10123.2,79,1,1,-0.8345014
16282,27-Jul-15,2,29,MEXICALI IMPERIAL,1,10,8534.7239,9,2,2,2,1,7752,85,1,1,0.1009706
16283,27-Jul-15,2,24,MONTERREY LEONES,1,1,804.86775,0,0,2,2,2,1732.8,84,1,3,-0.5355103
16261,27-Jul-15,2,40,LA PAZ,1,5,1233.0886,26,5,2,3,1,5897.6001,70,1,3,-0.7909169
16298,27-Jul-15,2,36,XOLA,2,7,5750.6629,18,7,1,2,2,9910.4004,77,1,1,-0.4197346
16262,27-Jul-15,1,22,CD. JUAREZ BARRANCAS,1,1,218.799,2,0,2,3,2,4590.3999,37,1,3,-0.9523355
16221,27-Jul-15,1,30,SAN JERONIMO,2,5,1875.42,2,0,2,2,2,456,95,1,2,3.112763
16224,27-Jul-15,2,61,CHIHUAHUA PARRAL,1,19,13233.901,45,7,2,3,2,6900.7998,212,0,1,0.9177344
16255,27-Jul-15,1,30,TOLUCA METEPEC,2,3,1778.5233,3,1,1,2,1,2310.3999,49,1,2,-0.2302098
16268,27-Jul-15,1,37,MONTERREY MITRAS,1,1,590.7573,16,6,2,3,1,5350.3999,22,1,2,-0.8895863
16285,27-Jul-15,2,25,CD. JUAREZ ATLANTIS,1,6,7259.7508,9,3,1,3,2,8907.2002,63,1,1,-0.184957
16245,27-Jul-15,2,34,MOLIERE,2,2,939.89799,13,2,1,2,2,8025.6001,60,1,1,-0.8828875
16270,27-Jul-15,2,30,PRAGA,2,15,8227.8426,2,0,2,1,1,9363.2002,240,0,2,-0.1212574
16263,27-Jul-15,2,39,TOLUCA METEPEC,2,20,10932.823,20,3,2,2,1,699.20001,175,1,1,14.63619
16289,27-Jul-15,2,31,MONTERREY SULTANA,1,1,81.2682,9,2,2,3,2,14227.2,44,1,2,-0.9942878
16259,27-Jul-15,1,29,SOTELO,2,5,2442.7346,3,1,2,2,1,8390.4004,58,1,2,-0.7088656
16271,27-Jul-15,1,27,PERINORTE,2,1,234.4275,7,1,1,2,1,24593.6,30,1,1,-0.990468
16267,27-Jul-15,1,41,PRAGA,2,7,6462.3848,3,0,1,2,1,6870.3999,109,1,1,-0.0593874
16251,27-Jul-15,2,28,PACHUCA,2,4,2319.2694,9,2,2,1,2,5776,60,1,1,-0.5984644
16274,27-Jul-15,1,38,COUNTRY CLUB,1,12,8731.3929,17,9,2,3,2,9849.5996,214,0,3,-0.1135281
16260,27-Jul-15,2,51,TIJUANA RIO,1,7,4502.5709,33,10,2,3,1,11977.6,67,1,3,-0.6240841
16249,27-Jul-15,1,34,MONTERREY SAN NICOLAS,1,1,507.92625,15,4,2,3,1,12859.2,30,1,1,-0.960501
16230,27-Jul-15,2,49,CHIHUAHUA PARRAL,1,3,2375.532,32,7,1,3,1,3070.3999,71,1,1,-0.2263119
16235,27-Jul-15,2,43,GRIJALVA,2,24,20938.002,6,2,1,3,2,1550.4,633,0,1,12.5049
16234,27-Jul-15,1,29,JUAREZ CHAMIZAL,1,1,140.6565,11,5,1,2,2,11521.6,39,1,1,-0.987792
16258,27-Jul-15,2,38,VALLARTA,1,20,14367.405,19,3,2,3,1,4316.7998,430,0,1,2.328254
16231,27-Jul-15,2,49,CHIHUAHUA PARRAL,1,3,2375.532,32,11,1,3,1,13497.6,71,1,1,-0.8240034
16236,27-Jul-15,2,32,ENSENADA,1,3,1256.5314,18,4,2,3,1,1216,56,1,3,0.0333317
16250,27-Jul-15,1,30,REYNOSA FRONTERA,1,11,2042.645,7,1,1,2,2,7144,85,1,1,-0.7140754
16253,27-Jul-15,1,48,TULUM,2,2,1842.6001,31,5,1,3,1,2371.2,39,1,1,-0.222925
16237,27-Jul-15,2,34,ESCANDON,2,1,507.92625,17,4,1,2,2,2979.2,46,1,1,-0.8295092
16288,27-Jul-15,2,34,MONTERREY SULTANA,1,14,3045.2132,15,4,1,3,2,25171.199,305,0,1,-0.8790199
16240,27-Jul-15,2,41,TOREO,2,25,10463.968,25,5,2,2,2,9393.5996,168,1,1,0.1139466
16287,27-Jul-15,2,32,CONDESA,2,22,8922.6232,13,2,1,2,1,3952,270,0,1,1.257749
16226,27-Jul-15,2,29,LA PAZ,1,2,409.4667,8,1,1,2,2,2766.3999,22,1,2,-0.8519857
16246,27-Jul-15,1,45,MERIDA,2,21,9629.6566,30,6,1,3,1,5198.3999,210,0,1,0.8524271
16277,27-Jul-15,2,29,CANCUN,2,1,76.57965,9,4,1,3,1,91.199997,39,1,1,-0.1603108
16278,27-Jul-15,1,44,DURANGO,1,17,11236.954,24,3,1,3,1,8420.7998,633,0,1,0.3344283
16294,27-Jul-15,2,33,PACHUCA,2,1,2595.8938,8,3,2,1,2,6596.7998,37,1,1,-0.6064919
16264,27-Jul-15,1,25,TIJUANA INSURGENTES,1,7,1148.3822,15,3,2,3,2,2918.3999,67,1,3,-0.6065028
