key,f_alta,genero,edad,sucursal,div,num_ventas,sueldo_prom,antigüedad,num_trabajos_previos,edo_civil,experiencia,escolaridad,salario_diario_ant,num_dias,target
14089,19-Jan-15,1,35,TIJUANA CACHANILLA,1,1,250.056,17,7.8480236,NA,NA,NA,284,58,0
14090,19-Jan-15,1,27,MONTERREY VALLE ALTO,1,1,312.57,,,NA,NA,NA,,25,0
14091,19-Jan-15,0,45,CULIACAN,1,7,2976.4478,22,6.04646,NA,NA,NA,161,129,0
14092,19-Jan-15,0,29,PRAGA,2,19,15557.838,7,1.5501667,NA,NA,NA,115,665,1
14093,19-Jan-15,0,31,GUADALAJARA TONALA,1,27,7579.1192,14,5.4581754,NA,NA,NA,83,387,1
14094,19-Jan-15,1,22,CD. JUAREZ BARRANCAS,1,5,3029.0638,,,NA,NA,NA,,57,0
14095,19-Jan-15,0,24,GUADALAJARA AJIJIC,1,11,3253.1035,6,0.78053506,NA,NA,NA,244,46,0
14096,19-Jan-15,0,48,JALISCO,1,22,9546.6171,29,7.2241576,NA,NA,NA,800,329,1
14097,19-Jan-15,0,38,LA PAZ,1,15,3719.7289,22,4.2873148,NA,NA,NA,119,158,0
14098,19-Jan-15,0,25,FRAY SERVANDO,2,4,1719.0829,8,1.7576302,NA,NA,NA,34,38,0
14099,19-Jan-15,0,44,ATLIXCO,2,34,19614.216,26,2.7429296,NA,NA,NA,309,239,1
14100,19-Jan-15,1,28,CD. JUAREZ ATLANTIS,1,3,1162.1353,12,2.0482328,NA,NA,NA,645,58,0
14101,19-Jan-15,0,34,CULIACAN HUMAYA,1,3,1042.4209,14,3.5828606,NA,NA,NA,251,50,0
14102,19-Jan-15,1,45,GUADALAJARA TLAQUEPAQUE,1,8,7750.1992,26,4.9953345,NA,NA,NA,597,95,0
14103,19-Jan-15,0,31,LA PAZ,1,36,24508.822,10,2.5435164,NA,NA,NA,166,822,1
14104,19-Jan-15,0,25,HAMBURGO,2,16,16938.116,5,0.6587104,NA,NA,NA,162,134,0
14105,19-Jan-15,1,27,SOTELO,2,7,6580.0674,9,2.8781152,NA,NA,NA,12,140,0
14106,19-Jan-15,1,26,TOLUCA LERMA,2,13,6632.4228,8,1.4002165,NA,NA,NA,353,242,1
14107,19-Jan-15,0,36,CELAYA,1,20,10249.561,19,4.0470697,NA,NA,NA,282,179,0
14108,19-Jan-15,1,50,NA,1,18,6554.4887,27,3.9803843,NA,NA,NA,71,136,0
14109,19-Jan-15,1,26,MONTERREY SENDERO,1,1,625.14,10,1.942392,NA,NA,NA,75,42,0
14110,19-Jan-15,0,26,CD. OBREGON,1,32,20079.393,9,1.6017144,NA,NA,NA,119,822,1
14111,19-Jan-15,0,24,NA,2,10,2511.4687,5,1.166101,NA,NA,NA,177,38,0
14112,19-Jan-15,0,39,TORREON COMARCA,1,2,1667.04,25,12.095973,NA,NA,NA,29,22,0
14113,19-Jan-15,1,29,NAPOLES,2,14,11689.884,12,4.2373581,NA,NA,NA,162,140,0
14114,19-Jan-15,1,47,GUADALAJARA PATRIA,1,23,31227.931,25,10.010568,NA,NA,NA,58,256,1
14115,19-Jan-15,1,28,MONTERREY SENDERO,1,2,1268.5132,11,1.9567273,NA,NA,NA,288,24,0
14116,19-Jan-15,0,24,ARANDAS,1,5,4068.4372,4,0.54781126,NA,NA,NA,56,49,0
14117,19-Jan-15,0,26,REFORMA,2,5,3737.8683,9,1.9099351,NA,NA,NA,787,77,0
14118,19-Jan-15,0,25,CD. OBREGON,1,24,17513.063,3,0.43587241,NA,NA,NA,238,241,1
14119,19-Jan-15,0,50,LEON,1,5,4303.4377,15,2.5852193,NA,NA,NA,226,182,1
14120,19-Jan-15,0,25,CD. JUAREZ BARRANCAS,1,6,4404.8406,7,1.5481092,NA,NA,NA,511,42,0
