"ï..key","f_alta","genero","edad","sucursal","div","num_ventas","sueldo_prom","antiguedad","num_trabajos_previos","edo_civil","experiencia","escolaridad","salario_diario_ant","num_dias","rotacion","dependientes","incremento","mes"
16185,"10-Aug-15",1,26,"TIJUANA CACHANILLA",1,5,586.38132,10,2,2,2,1,8724.7998,77,1,3,0.0672086,8
16222,"27-Jul-15",1,44,"CHIHUAHUA VILLA",1,21,10397.704,28,8,1,2,2,14105.6,184,0,1,0.737133,7
16223,"27-Jul-15",1,27,"MERIDA",2,2,795.49065,8,1,1,2,1,2644.8,63,1,1,0.3007753,7
16224,"27-Jul-15",0,61,"CHIHUAHUA PARRAL",1,19,13233.901,45,7,2,2,2,6900.7998,212,0,1,1.917734,7
16225,"27-Jul-15",1,23,"CD. JUAREZ BARRANCAS",1,1,590.7573,4,1,2,2,1,29396.801,45,1,3,0.020096,7
16226,"27-Jul-15",0,29,"LA PAZ",1,2,409.4667,8,1,1,1,2,2766.3999,22,1,2,0.1480143,7
16228,"27-Jul-15",1,33,"PACHUCA",2,3,2391.1605,11,2,1,1,1,7843.2002,24,1,1,0.3048705,7
16230,"27-Jul-15",0,49,"CHIHUAHUA PARRAL",1,3,2375.532,32,7,1,2,1,3070.3999,71,1,1,0.7736881,7
16231,"27-Jul-15",0,49,"CHIHUAHUA PARRAL",1,3,2375.532,32,11,1,2,1,13497.6,71,1,1,0.1759966,7
16232,"27-Jul-15",0,40,"TOLUCA METEPEC",2,19,10276.739,26,5,1,1,1,6171.2002,462,0,1,1.665274,7
16233,"27-Jul-15",1,24,"TIJUANA INSURGENTES",1,4,3021.9268,5,1,2,2,2,9302.4004,78,1,3,0.3248545,7
16234,"27-Jul-15",1,29,"JUAREZ CHAMIZAL",1,1,140.6565,11,5,1,1,2,11521.6,39,1,1,0.0122081,7
16235,"27-Jul-15",0,43,"GRIJALVA",2,24,20938.002,6,2,1,2,2,1550.4,633,0,1,13.5049,7
16236,"27-Jul-15",0,32,"ENSENADA",1,3,1256.5314,18,4,2,2,1,1216,56,1,3,1.033332,7
16237,"27-Jul-15",0,34,"ESCANDON",2,1,507.92625,17,4,1,1,2,2979.2,46,1,1,0.1704908,7
16238,"27-Jul-15",0,33,"INTERLOMAS",2,3,1675.3752,14,2,1,1,1,10123.2,79,1,1,0.1654986,7
16240,"27-Jul-15",0,41,"TOREO",2,25,10463.968,25,5,2,1,2,9393.5996,168,1,1,1.113947,7
16241,"27-Jul-15",0,27,"EL SALTO",1,2,1151.8204,2,0,2,2,3,6779.2002,35,1,3,0.1699051,7
16242,"27-Jul-15",1,27,"MONTERREY FUNDIDORA",1,3,293.8158,8,2,2,2,2,11916.8,65,1,3,0.0246556,7
16243,"27-Jul-15",1,26,"CD. JUAREZ ATLANTIS",1,3,2211.1202,6,1,1,2,1,2644.8,63,1,2,0.8360255,7
16244,"27-Jul-15",0,35,"PACHUCA",2,5,3489.8441,10,2,1,1,2,2553.6001,46,1,2,1.366637,7
16245,"27-Jul-15",0,34,"MOLIERE",2,2,939.89799,13,2,1,1,2,8025.6001,60,1,1,0.1171125,7
16246,"27-Jul-15",1,45,"MERIDA",2,21,9629.6566,30,6,1,2,1,5198.3999,210,0,1,1.852427,7
16247,"27-Jul-15",0,26,"TIJUANA RIO",1,1,670.46265,10,2,2,1,2,760,24,1,3,0.8821877,7
16248,"27-Jul-15",0,24,"JUAREZ CHAMIZAL",1,9,5746.912,6,1,2,2,1,516.79999,59,1,3,11.12019,7
16249,"27-Jul-15",1,34,"MONTERREY SAN NICOLAS",1,1,507.92625,15,4,2,2,1,12859.2,30,1,1,0.0394991,7
16250,"27-Jul-15",1,30,"REYNOSA FRONTERA",1,11,2042.645,7,1,1,1,2,7144,85,1,1,0.2859246,7
16251,"27-Jul-15",0,28,"PACHUCA",2,4,2319.2694,9,2,2,1,2,5776,60,1,1,0.4015356,7
16252,"27-Jul-15",1,30,"INTERLOMAS",2,10,8207.7756,7,2,1,1,2,3374.3999,74,1,1,2.432366,7
16253,"27-Jul-15",1,48,"TULUM",2,2,1842.6001,31,5,1,2,1,2371.2,39,1,1,0.777075,7
16255,"27-Jul-15",1,30,"TOLUCA METEPEC",2,3,1778.5233,3,1,1,1,1,2310.3999,49,1,2,0.7697902,7
16256,"27-Jul-15",1,31,"REYNOSA FRONTERA",1,3,1273.7227,12,3,1,2,1,9272,42,1,2,0.137373,7
16257,"27-Jul-15",0,27,"GUADALAJARA MINERVA",1,4,1953.5625,6,1,1,2,1,4164.7998,35,1,1,0.4690652,7
16258,"27-Jul-15",0,38,"VALLARTA",1,20,14367.405,19,3,2,2,1,4316.7998,430,0,1,3.328254,7
16260,"27-Jul-15",0,51,"TIJUANA RIO",1,7,4502.5709,33,10,2,2,1,11977.6,67,1,3,0.375916,7
16261,"27-Jul-15",0,40,"LA PAZ",1,5,1233.0886,26,5,2,2,1,5897.6001,70,1,3,0.2090831,7
16262,"27-Jul-15",1,22,"CD. JUAREZ BARRANCAS",1,1,218.799,2,0,2,2,2,4590.3999,37,1,3,0.0476645,7
16263,"27-Jul-15",0,39,"TOLUCA METEPEC",2,20,10932.823,20,3,2,1,1,699.20001,175,1,1,15.63619,7
16264,"27-Jul-15",1,25,"TIJUANA INSURGENTES",1,7,1148.3822,15,3,2,2,2,2918.3999,67,1,3,0.3934972,7
16265,"27-Jul-15",1,55,"GUADALAJARA TLAQUEPAQUE",1,3,1201.8317,34,7,1,2,2,3587.2,35,1,1,0.3350334,7
16266,"27-Jul-15",1,38,"SAN JERONIMO",2,6,6795.2718,17,5,1,1,1,212.8,93,1,1,31.93267,7
16267,"27-Jul-15",1,41,"PRAGA",2,7,6462.3848,3,0,1,1,1,6870.3999,109,1,1,0.9406126,7
16269,"27-Jul-15",0,32,"MONCLOVA",1,15,5852.9358,12,5,1,2,2,152,197,0,1,38.50616,7
16271,"27-Jul-15",1,27,"PERINORTE",2,1,234.4275,7,1,1,1,1,24593.6,30,1,1,0.0095321,7
16272,"27-Jul-15",0,36,"VALLARTA",1,24,16118.297,10,1,1,2,2,4377.6001,422,0,1,3.681994,7
16273,"27-Jul-15",1,34,"SOTELO",2,27,14952.724,10,2,1,1,2,6931.2002,633,0,2,2.157307,7
16274,"27-Jul-15",1,38,"COUNTRY CLUB",1,12,8731.3929,17,9,2,2,2,9849.5996,214,0,3,0.8864719,7
16275,"27-Jul-15",0,33,"CD. JUAREZ BARRANCAS",1,19,8185.8957,7,1,1,1,1,2888,255,0,1,2.834451,7
16276,"27-Jul-15",1,60,"MONTERREY MITRAS",1,5,9366.1601,27,5,1,2,2,2280,42,1,1,4.107965,7
16277,"27-Jul-15",0,29,"CANCUN",2,1,76.57965,9,4,1,2,1,91.199997,39,1,1,0.8396892,7
16278,"27-Jul-15",1,44,"DURANGO",1,17,11236.954,24,3,1,2,1,8420.7998,633,0,1,1.334428,7
16280,"27-Jul-15",0,26,"DURANGO",1,21,14757.18,7,2,2,2,1,8420.7998,550,0,1,1.752468,7
16282,"27-Jul-15",0,29,"MEXICALI IMPERIAL",1,10,8534.7239,9,2,2,1,1,7752,85,1,1,1.100971,7
