.,Media,Desviación estándar,Límite inferior,Límite superior,Significativa,,,
Constante,-1.7947,2.6391,-7.2113,3.1176,,,,
Devianza,591.0147,7.5475,578.2520,607.5874,,,,
Información laboral,,,,,,,,
Sueldo promedio,,,,,,,,
<2000,2.0268,1.7437,-0.3237,6.1213,,,,
2000<sueldo<10000,-0.6346,0.8878,-2.6941,0.6139,,,,
>10000,-1.3921,0.9178,-3.4954,-0.0395,*,0.248541531,0.751458469,
Suledo mensual anterior,0.0256,0.0669,-0.1065,0.1576,,,,
Incremento en sueldo,-0.1139,0.1099,-0.3764,0.0469,,,,
Antigüedad ,-0.0375,0.1325,-0.2959,0.2240,,,,
Número de trabajos previos,0.0883,0.1003,-0.1098,0.2805,,,,
Número de ventas,-2.0779,0.1496,-2.3784,-1.7940,*,0.12519344,0.87480656,
División territorial,,,,,,,,
Norte,-0.2004,0.0867,-0.3715,-0.0328,*,0.818437521,0.181562479,
Sur,0.2004,0.0867,0.0328,0.3715,*,1.221840366,0.221840366,aumenta
Mes de alta,,,,,,,,
Julio,0.1644,0.2737,-0.3679,0.7102,,,,
Agosto,0.0848,0.1262,-0.1618,0.3344,,,,
Septiembre,0.2620,0.1735,-0.0796,0.6026,,,,
Octubre,-0.2384,0.1460,-0.5296,0.0429,,,,
Noviembre,-0.1587,0.1465,-0.4482,0.1277,,,,
Diciembre,-0.1142,0.1691,-0.4409,0.2149,,,,
Información personal,,,,,,,,
Edad,,,,,,,,
<30,-0.7187,0.9024,-2.8249,0.5759,,,,
30<edad<50,-1.0958,0.8887,-3.1866,0.1384,,,,
>50,1.8145,1.7795,-0.6554,5.9980,,,,
Sexo,,,,,,,,
Masculino,0.0612,0.0660,-0.0699,0.1894,,,,
Femenino,-0.0612,0.0660,-0.1894,0.0699,,,,
Estado civil,,,,,,,,
Casado,0.1217,0.0946,-0.0627,0.3075,,,,
Soltero,-0.1217,0.0946,-0.3075,0.0627,,,,
Dependientes económicos,,,,,,,,
Con hijos,0.0783,0.1274,-0.1686,0.3293,,,,
Sin hijos,-0.2440,0.1102,-0.4664,-0.0315,*,0.783520254,0.216479746,
Otros,0.1657,0.1328,-0.0928,0.4266,,,,
Escolaridad,,,,,,,,
Bachillerato/carrera técnica,0.2600,0.2668,-0.2376,0.7886,,,,
Licenciatura,0.1727,0.2642,-0.3263,0.6977,,,,
Maestría ,-0.4327,0.5138,-1.4596,0.5334,,,,
Experiencia,,,,,,,,
Sin experiencia,0.1325,0.1822,-0.2186,0.4950,,,,
1 año,-0.1574,0.1255,-0.4050,0.0875,,,,
2 años o más ,0.0248,0.1373,-0.2448,0.2904,,,,
Interacciones,,,,,,,,
Edad <30 y sueldo <2000,-2.2404,1.7394,-6.3389,0.0965,,,,
30<edad<50 y sueldo <2000,-2.5969,1.7382,-6.7033,-0.2582,*,0.074507311,0.925492689,
Edad >50 y sueldo <2000,4.8373,3.4690,0.2008,13.0772,*,126.1258873,125.1258873,
Edad <30 y 2000<sueldo <10000,0.9264,0.8913,-0.3392,2.9969,,,,
30<edad<50 y 2000<sueldo <10000,1.0607,0.8894,-0.1965,3.1341,,,,
Edad >50 y 2000<sueldo <10000,-1.9871,1.7697,-6.1158,0.4858,,,,
Edad <30 y sueldo >10000,1.3140,0.9181,-0.0342,3.4403,,,,
30<edad<50 y sueldo >10000,1.5362,0.9174,0.1876,3.6495,*,4.646714175,3.646714175,
Edad >50 y sueldo >10000,-2.8502,1.8144,-7.0566,-0.2325,*,0.057832777,0.942167223,
