.,Media,Desviación estándar,Límite inferior,Límite superior,Significativa,,,
Constante,-1.4732,5.7006,-12.698,9.7265,,,,
Devianza,587.2223,6.9345,575.8497,602.5498,,,,
Información laboral,,,,,,,,
Sueldo promedio,-0.4163,0.1681,-0.7493,-0.0916,*,0.659487178,0.340512822,disminuye
Suledo mensual anterior,0.1015,0.1127,-0.1188,0.3237,,,,
Incremento en sueldo,-0.1141,0.1287,-0.4163,0.0884,,,,
Antigüedad ,0.3068,0.2911,-0.2635,0.8761,,,,
Número de trabajos previos,0.3365,0.1765,-0.0064,0.6851,,,,
Número de ventas,-3.0174,0.2299,-3.4809,-2.5793,*,0.04892677,0.95107323,
División territorial,,,,,,,,
Norte,-0.1518,0.147,-0.4391,0.1368,,,,
Sur,0.1518,0.147,-0.1368,0.4391,,,,
Mes de alta,,,,,,,,
Julio,0.3794,0.5195,-0.6242,1.4117,,,,
Agosto,0.229,0.217,-0.1959,0.6568,,,,
Septiembre,0.6671,0.2908,0.0994,1.2388,*,1.948521763,0.948521763,aumenta
Octubre,-0.4513,0.2716,-0.9855,0.079,,,,
Noviembre,-0.4439,0.2567,-0.9518,0.0575,,,,
Diciembre,-0.3802,0.2837,-0.9361,0.176,,,,
Información personal,,,,,,,,
Edad,-0.7205,0.2536,-1.2192,-0.2269,*,0.486494475,0.513505525,
Sexo,,,,,,,,
Masculino,0.2997,0.1153,0.0761,0.5283,*,1.349482961,0.349482961,
Femenino,-0.2997,0.1153,-0.5283,-0.0761,*,0.741024547,0.258975453,
Estado civil,,,,,,,,
Casado,0.098,0.1597,-0.2143,0.4109,,,,
Soltero,-0.098,0.1597,-0.4109,0.2143,,,,
Dependientes económicos,,,,,,,,
Con hijos,0.1239,0.219,-0.3032,0.554,,,,
Sin hijos,-0.2707,0.1909,-0.6435,0.1059,,,,
Otros,0.1468,0.2316,-0.3071,0.6013,,,,
Escolaridad,,,,,,,,
Bachillerato/carrera técnica,0.2266,0.4369,-0.6426,1.071,,,,
Licenciatura,0.4081,0.4278,-0.4428,1.2339,,,,
Maestría ,-0.6347,0.8329,-2.236,1.0245,,,,
Experiencia,,,,,,,,
Sin experiencia,0.0289,0.3128,-0.5778,0.65,,,,
1 año,0.1257,0.2126,-0.2941,0.5401,,,,
2 años o más ,-0.1547,0.2379,-0.6212,0.3097,,,,
