"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"alpha.est",-0.663176530009091,5.7251943233259,-11.8655050180581,-4.52460756803434,-0.677253636700618,3.1994580098275,10.5903842526523,1.00109010857174,15000
"b_ant",0.157061824846989,0.149293884569274,-0.135570080813924,0.0552566417890102,0.157979174456155,0.258265305485732,0.447335160566945,1.00140471840284,3600
"b_dep.est[1]",0.0719540149334865,0.115451009405029,-0.153328703371036,-0.00614691702944786,0.0712515513320713,0.149757604229647,0.300555706329557,1.00100857561441,71000
"b_dep.est[2]",-0.170806193539001,0.101962359121567,-0.370629135290644,-0.239632682233371,-0.170452651422033,-0.10167190280948,0.0286641138989572,1.00103655610468,31000
"b_dep.est[3]",0.0988521786055147,0.121116794317312,-0.138464501513477,0.0164670358397171,0.0984582792099854,0.18136713504531,0.336475603260507,1.00098967554959,90000
"b_div.est[1]",-0.120793479470072,0.0792482292107451,-0.277484997805614,-0.174039852591594,-0.1206093055452,-0.0671495666858927,0.0338392718751824,1.0010538224607,23000
"b_div.est[2]",0.120793479470072,0.0792482292107451,-0.0338392718751824,0.0671495666858927,0.120609305545201,0.174039852591593,0.277484997805614,1.0010538224607,23000
"b_edad",-0.347461202409803,0.133767367093898,-0.608403598568228,-0.438362999136507,-0.347415584302548,-0.256825406144581,-0.085930529078964,1.00136616408869,4000
"b_edo_c.est[1]",0.0428050480467337,0.0844567173277621,-0.12399380732294,-0.0142641441521356,0.0427653211388372,0.0997597591294743,0.207759275293302,1.00099313699504,90000
"b_edo_c.est[2]",-0.0428050480467337,0.0844567173277621,-0.207759275293303,-0.099759759129475,-0.0427653211388372,0.0142641441521352,0.123993807322939,1.00099313699504,90000
"b_esc.est[1]",0.136196400237877,0.243732663595954,-0.351965260955919,-0.0262352784418903,0.139310303421445,0.301817881382549,0.603246165353302,1.0009873934964,90000
"b_esc.est[2]",0.201303999956361,0.240207364948919,-0.276890677999588,0.0403292708094594,0.204547397542083,0.365610651585246,0.662812653033249,1.00098811085727,90000
"b_esc.est[3]",-0.337500400194238,0.468233602942311,-1.23599725644451,-0.657460588247285,-0.344168623050885,-0.0264451773891582,0.598625847153003,1.00098762869287,90000
"b_exp.est[1]",0.0464370191077539,0.172250662659879,-0.285302136280348,-0.0707248293991928,0.0447236878052493,0.161715375458489,0.388823575396827,1.00101596187979,53000
"b_exp.est[2]",0.00646821368839135,0.115539366789776,-0.220408220588519,-0.0720809989157039,0.00649541042608526,0.0849687967367774,0.231597432133769,1.00110752008668,12000
"b_exp.est[3]",-0.0529052327961453,0.129278741841493,-0.308299432582273,-0.140143682998241,-0.0520396107670158,0.0345442893036885,0.197024682487831,1.00099452317721,90000
"b_gen.est[1]",0.131013389884726,0.0607498925765231,0.0123304972396717,0.0899739244495154,0.13085373020417,0.17196179458981,0.251027376957355,1.0009918442871,90000
"b_gen.est[2]",-0.131013389884726,0.0607498925765231,-0.251027376957355,-0.171961794589809,-0.130853730204171,-0.0899739244495154,-0.0123304972396721,1.0009918442871,90000
"b_inc",-0.0450094537303625,0.0587419084955212,-0.176427040266993,-0.0804991981794336,-0.0390636156174222,-0.00378441986019912,0.0542475076370231,1.00099063514641,90000
"b_mes.est[1]",0.280100317010578,0.250672413146109,-0.206070796480713,0.109321752219709,0.277446715337664,0.448766486020264,0.778111743089007,1.0009873811313,90000
"b_mes.est[2]",0.0999585538299938,0.112304496817533,-0.119499703021458,0.024249117540569,0.0993914886337336,0.175517094575976,0.319945266192148,1.0010725148366,18000
"b_mes.est[3]",0.289684542057379,0.155618304894627,-0.0151213413859466,0.185231996922016,0.289739258882442,0.394846621233816,0.595170664999593,1.00099285611804,90000
"b_mes.est[4]",-0.216004340843818,0.139010343356428,-0.488704400155523,-0.309527049040504,-0.216095713673632,-0.122066820055779,0.0576358472942122,1.00109793207052,14000
"b_mes.est[5]",-0.235343910958879,0.132787741607423,-0.496095774783545,-0.324687735486997,-0.235169963358824,-0.145544760936812,0.0242710449328647,1.00111047845506,12000
"b_mes.est[6]",-0.218395161095254,0.153199643900231,-0.519021994480145,-0.322081246394682,-0.218652251898766,-0.114833173449798,0.0801447967824705,1.00108672457614,15000
"b_num_t",0.154476335945798,0.0873487885782039,-0.0169699042679487,0.0955999835649473,0.154480963579138,0.21345752931358,0.325000439821119,1.00098830954243,90000
"b_num_v",-1.53801534845243,0.10841629101479,-1.75401697122935,-1.61044765262954,-1.53692898295628,-1.46424479526222,-1.32817512534617,1.00110446210184,13000
"b_suel",-0.240524527276672,0.0909096347887837,-0.421867077313046,-0.301347043240529,-0.239744545579262,-0.178757645485636,-0.0645538787668127,1.00099455460666,90000
"b_suel_ant",0.0514937603927475,0.0604878447772639,-0.0663862868753755,0.0107269087689332,0.0512446296464407,0.0920458647470114,0.170100008454695,1.0010225878942,43000
"deviance",597.843562852397,6.67920898402646,586.794508009459,593.072346242227,597.151333839048,601.907133463406,612.521229642298,1.00099849373058,90000
